2.5582 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
78.9217 	EXP 	fixation: autoDraw = True
79.9287 	EXP 	fixation: autoDraw = False
79.9455 	EXP 	grating: autoDraw = True
79.9455 	EXP 	grating: tex = 'sin'
80.2454 	EXP 	grating: autoDraw = False
80.2985 	EXP 	window1: recordFrameIntervals = False
80.3002 	DATA 	Keypress: right
80.3150 	EXP 	fixation: autoDraw = False
80.3150 	EXP 	grating: autoDraw = False
80.3153 	EXP 	window1: recordFrameIntervals = False
81.2887 	EXP 	fixation: autoDraw = True
82.2954 	EXP 	fixation: autoDraw = False
82.3126 	EXP 	grating: autoDraw = True
82.3126 	EXP 	grating: tex = 'sin'
82.6121 	EXP 	grating: autoDraw = False
82.7158 	EXP 	window1: recordFrameIntervals = False
82.7174 	DATA 	Keypress: right
82.7288 	EXP 	fixation: autoDraw = False
82.7288 	EXP 	grating: autoDraw = False
82.7295 	EXP 	window1: recordFrameIntervals = False
83.7057 	EXP 	fixation: autoDraw = True
84.7124 	EXP 	fixation: autoDraw = False
84.7292 	EXP 	grating: autoDraw = True
84.7292 	EXP 	grating: tex = 'sin'
85.0290 	EXP 	grating: autoDraw = False
85.0825 	EXP 	window1: recordFrameIntervals = False
85.0841 	DATA 	Keypress: left
85.0955 	EXP 	fixation: autoDraw = False
85.0955 	EXP 	grating: autoDraw = False
85.0958 	EXP 	window1: recordFrameIntervals = False
86.0730 	EXP 	fixation: autoDraw = True
87.0789 	EXP 	fixation: autoDraw = False
87.0958 	EXP 	grating: autoDraw = True
87.0958 	EXP 	grating: tex = 'sin'
87.3956 	EXP 	grating: autoDraw = False
87.4819 	EXP 	window1: recordFrameIntervals = False
87.4836 	DATA 	Keypress: left
87.4956 	EXP 	fixation: autoDraw = False
87.4956 	EXP 	grating: autoDraw = False
87.4959 	EXP 	window1: recordFrameIntervals = False
88.4718 	EXP 	fixation: autoDraw = True
89.4790 	EXP 	fixation: autoDraw = False
89.4959 	EXP 	grating: autoDraw = True
89.4959 	EXP 	grating: tex = 'sin'
89.7959 	EXP 	grating: autoDraw = False
89.9134 	EXP 	window1: recordFrameIntervals = False
89.9142 	DATA 	Keypress: right
89.9287 	EXP 	fixation: autoDraw = False
89.9287 	EXP 	grating: autoDraw = False
89.9289 	EXP 	window1: recordFrameIntervals = False
90.9028 	EXP 	fixation: autoDraw = True
91.9127 	EXP 	fixation: autoDraw = False
91.9127 	EXP 	grating: autoDraw = True
91.9127 	EXP 	grating: tex = 'sin'
92.2126 	EXP 	grating: autoDraw = False
92.3161 	EXP 	window1: recordFrameIntervals = False
92.3183 	DATA 	Keypress: right
92.3293 	EXP 	fixation: autoDraw = False
92.3293 	EXP 	grating: autoDraw = False
92.3297 	EXP 	window1: recordFrameIntervals = False
93.3065 	EXP 	fixation: autoDraw = True
94.3126 	EXP 	fixation: autoDraw = False
94.3295 	EXP 	grating: autoDraw = True
94.3295 	EXP 	grating: tex = 'sin'
94.6294 	EXP 	grating: autoDraw = False
94.6827 	EXP 	window1: recordFrameIntervals = False
94.6844 	DATA 	Keypress: left
94.6959 	EXP 	fixation: autoDraw = False
94.6959 	EXP 	grating: autoDraw = False
94.6962 	EXP 	window1: recordFrameIntervals = False
95.6725 	EXP 	fixation: autoDraw = True
96.6793 	EXP 	fixation: autoDraw = False
96.6966 	EXP 	grating: autoDraw = True
96.6966 	EXP 	grating: tex = 'sin'
96.9964 	EXP 	grating: autoDraw = False
97.1157 	EXP 	window1: recordFrameIntervals = False
97.1173 	DATA 	Keypress: right
97.1294 	EXP 	fixation: autoDraw = False
97.1294 	EXP 	grating: autoDraw = False
97.1297 	EXP 	window1: recordFrameIntervals = False
98.1060 	EXP 	fixation: autoDraw = True
