key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,44,43,down,0.005,db,0.05057897271299489,0.0007743998430669308,137.26475480012596,137.26475480012596,137.5646188003011,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,45,44,up,0.005,db,0.05060809669189259,0.0007034000009298325,139.6480564000085,139.6480564000085,139.9484227001667,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,46,45,up,0.005,db,0.05060809669189259,0.0008108997717499733,142.03210309986025,142.03210309986025,142.33187970006838,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,47,46,up,0.005,db,0.05063723744072651,0.0007488997653126717,144.43186250003055,144.43186250003055,144.73186840023845,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,48,47,up,0.005,db,0.050666394969153,0.0007798997685313225,146.79862810019404,146.79862810019404,147.09840819984674,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,49,48,up,0.005,db,0.05069556928683393,0.0008361996151506901,149.16527900006622,149.16527900006622,149.46505089988932,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,50,49,up,0.005,db,0.05072476040343676,0.0004275999963283539,151.5319572002627,151.5319572002627,151.83183080004528,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,51,50,up,0.005,db,0.05072476040343676,0.0008097998797893524,153.89882430015132,153.89882430015132,154.19877280015498,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,52,51,up,0.005,db,0.05075396832863451,0.0008213999681174755,156.3322494002059,156.3322494002059,156.6319997999817,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,53,52,up,0.005,db,0.05075396832863451,0.0004111998714506626,158.7490346999839,158.7490346999839,159.0485017001629,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,54,53,up,0.005,db,0.05075396832863451,0.0008326000533998013,161.1158660002984,161.1158660002984,161.4156587002799,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,55,54,up,0.005,db,0.050783193072105784,0.0008627003990113735,163.56618739990517,163.56618739990517,163.86580280028284,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,56,55,up,0.005,db,0.05081243464353473,0.0007993998005986214,165.9328661998734,165.9328661998734,166.23245589993894,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,57,56,up,0.005,db,0.05084169305261109,0.0007652002386748791,168.3161344002001,168.3161344002001,168.61607640003785,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,58,57,up,0.005,db,0.05084169305261109,0.000327100045979023,170.7329921000637,170.7329921000637,171.03281470015645,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,59,58,up,0.005,db,0.05084169305261109,0.0012984001077711582,173.19981739996,173.19981739996,173.49966510012746,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,60,59,up,0.005,db,0.050870968309030186,0.0007739001885056496,175.56635909993201,175.56635909993201,175.86625940026715,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,61,60,up,0.005,db,0.050870968309030186,0.0007826001383364201,177.98319570021704,177.98319570021704,178.2830930002965,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,62,61,up,0.005,db,0.050870968309030186,0.0006633000448346138,180.36702880030498,180.36702880030498,180.6664519002661,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,63,62,up,0.005,db,0.05090026042249292,0.0007386002689599991,182.7334088999778,182.7334088999778,183.0338961998932,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,64,63,up,0.005,db,0.05092956940270578,0.0010558003559708595,185.1002648002468,185.1002648002468,185.40032220026478,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
